step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,2848,32,0.2038483759429397,0.0,0.0,0.1930384040335107,0.0,0.0,,,,,,
2,5440,64,0.18827420953391605,0.0,0.0,,,,,,,,,
3,8032,96,0.14460204889378736,0.0,0.0,,,,,,,,,
4,11136,128,0.09918549731876473,0.0,0.0,,,,,,,,,
5,13472,160,0.06499401271221712,0.375,0.375,,,,,,,,,
6,17344,192,0.025448948378768214,0.53125,0.53125,,,,,,,,,
7,20960,224,0.02584260807104233,0.46875,0.46875,,,,,,,,,
8,23808,256,0.032385110407875776,0.6875,0.6875,,,,,,,,,
9,26400,288,0.04471332827977538,0.40625,0.40625,0.04708973678185632,0.53125,0.53125,,,,,,
10,28992,320,0.038289858014724475,0.59375,0.59375,,,,,,,,,
11,31584,352,0.04044824702332516,0.8125,0.8125,,,,,,,,,
12,33920,384,0.040012882123720464,0.8125,0.8125,,,,,,,,,
13,36768,416,0.03479135525283792,0.65625,0.65625,,,,,,,,,
14,39616,448,0.029239146331456144,0.78125,0.78125,,,,,,,,,
15,41952,480,0.03769816316745695,0.78125,0.78125,,,,,,,,,
16,46336,512,0.02000996131542145,0.8125,0.8125,,,,,,,,,
17,48928,544,0.028656295174441772,0.84375,0.84375,0.03174169256665755,0.90625,0.90625,,,,,,
18,51008,576,0.039333631816638216,0.875,0.875,,,,,,,,,
19,53600,608,0.0293593904952154,0.84375,0.84375,,,,,,,,,
20,56192,640,0.026329042808271315,0.84375,0.84375,,,,,,,,,
21,66976,672,0.00763648588935558,0.90625,0.90625,,,,,,,,,
22,69568,704,0.025063927529480678,0.84375,0.84375,,,,,,,,,
23,71904,736,0.028327986089518104,0.8125,0.8125,,,,,,,,,
24,75264,768,0.021458249318591246,0.75,0.75,,,,,,,,,
25,77600,800,0.028185884154037364,0.9375,0.9375,0.029340684216896937,0.875,0.875,,,,,,
26,80960,832,0.02379514071467366,0.6875,0.6875,,,,,,,,,
27,83296,864,0.03417977373133706,0.8125,0.8125,,,,,,,,,
28,87168,896,0.01927536801565149,0.84375,0.84375,,,,,,,,,
29,89760,928,0.026694343088223375,0.8125,0.8125,,,,,,,,,
30,92096,960,0.02820795148507134,0.78125,0.78125,,,,,,,,,
31,94432,992,0.028516708754808953,0.90625,0.90625,,,,,,,,,
32,97280,1024,0.02613774095710001,0.84375,0.84375,,,,,,,,,
33,99616,1056,0.025500943417411895,0.84375,0.84375,0.02330590829736061,0.8125,0.8125,,,,,,
34,102208,1088,0.027991050767232024,0.84375,0.84375,,,,,,,,,
35,104544,1120,0.028179171161667054,0.8125,0.8125,,,,,,,,,
36,107392,1152,0.02555943072663881,0.8125,0.8125,,,,,,,,,
37,109984,1184,0.023569056540066642,0.8125,0.8125,,,,,,,,,
38,112320,1216,0.028732045989471672,0.875,0.875,,,,,,,,,
39,116704,1248,0.01448302690930063,0.90625,0.90625,,,,,,,,,
40,118784,1280,0.03215944589666435,0.78125,0.78125,,,,,,,,,
41,120864,1312,0.030333592566032623,0.84375,0.84375,0.024423941395102646,0.9375,0.9375,,,,,,
42,123456,1344,0.028520742324192726,0.78125,0.78125,,,,,,,,,
43,126048,1376,0.026117279292551983,0.8125,0.8125,,,,,,,,,
44,129152,1408,0.021625867398410797,0.8125,0.8125,,,,,,,,,
45,131488,1440,0.02438574412157086,0.84375,0.84375,,,,,,,,,
46,133824,1472,0.026011126154589687,0.875,0.875,,,,,,,,,
47,136160,1504,0.03130492209269985,0.78125,0.78125,,,,,,,,,
48,139008,1536,0.02413449560801351,0.84375,0.84375,,,,,,,,,
