step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,32832,64,0.016799747675100882,0.625,0.625,0.022169588606002984,0.53125,0.53125,,,,,,
2,62592,128,0.01901868073658198,0.46875,0.46875,,,,,,,,,
3,87232,192,0.016909345175060552,0.609375,0.609375,,,,,,,,,
4,114944,256,0.018277014636897078,0.59375,0.59375,,,,,,,,,
5,142656,320,0.0156504539134362,0.65625,0.65625,,,,,,,,,
6,174464,384,0.014400811822465427,0.671875,0.671875,,,,,,,,,
7,210368,448,0.013082234819529833,0.515625,0.515625,,,,,,,,,
8,236032,512,0.01953946210296591,0.421875,0.421875,,,,,,,,,
9,263232,576,0.016752909374599785,0.53125,0.53125,0.018593721630334705,0.640625,0.640625,,,,,,
10,290944,640,0.016146278426479355,0.65625,0.65625,,,,,,,,,
11,319680,704,0.015927288756153294,0.625,0.625,,,,,,,,,
12,348928,768,0.015004786760830372,0.53125,0.53125,,,,,,,,,
13,377664,832,0.015024846895958,0.671875,0.671875,,,,,,,,,
14,404352,896,0.01637434467487052,0.65625,0.65625,,,,,,,,,
15,433088,960,0.015659475302490036,0.609375,0.609375,,,,,,,,,
16,457216,1024,0.018205174625231815,0.640625,0.640625,,,,,,,,,
17,480832,1088,0.019629550206436946,0.484375,0.484375,0.019053413169103278,0.625,0.625,,,,,,
18,507520,1152,0.016757484444327515,0.625,0.625,,,,,,,,,
19,541376,1216,0.014583123867701444,0.546875,0.546875,,,,,,,,,
20,571648,1280,0.014182685766318485,0.75,0.75,,,,,,,,,
21,601920,1344,0.01419975717959148,0.546875,0.546875,,,,,,,,,
22,626560,1408,0.018768118933816576,0.515625,0.515625,,,,,,,,,
23,657344,1472,0.014843682642546626,0.65625,0.65625,,,,,,,,,
24,685056,1536,0.016689244255769203,0.65625,0.65625,,,,,,,,,
25,718912,1600,0.012240667313999509,0.640625,0.640625,0.018584279578145388,0.765625,0.765625,,,,,,
26,746112,1664,0.016550242135586254,0.65625,0.65625,,,,,,,,,
27,777920,1728,0.01407607919218746,0.5625,0.5625,,,,,,,,,
28,804608,1792,0.016884610892985742,0.703125,0.703125,,,,,,,,,
29,841024,1856,0.012194226016599733,0.6875,0.6875,,,,,,,,,
30,868736,1920,0.01670830709457624,0.65625,0.65625,,,,,,,,,
31,895936,1984,0.016889183180815916,0.65625,0.65625,,,,,,,,,
32,924672,2048,0.014823928586266506,0.609375,0.609375,,,,,,,,,
33,952896,2112,0.015681189036633188,0.625,0.625,0.016693895451276416,0.71875,0.71875,,,,,,
34,983680,2176,0.013776881511784977,0.578125,0.578125,,,,,,,,,
35,1012416,2240,0.016590428355917057,0.765625,0.765625,,,,,,,,,
36,1040128,2304,0.01521167950859843,0.796875,0.796875,,,,,,,,,
37,1066816,2368,0.017010038347726877,0.5625,0.5625,,,,,,,,,
38,1102208,2432,0.012753681726209781,0.6875,0.6875,,,,,,,,,
39,1134016,2496,0.013975301764694808,0.671875,0.671875,,,,,,,,,
40,1162752,2560,0.016078258326247326,0.640625,0.640625,,,,,,,,,
41,1190976,2624,0.015555060986295572,0.671875,0.671875,0.011106216360115658,0.796875,0.796875,,,,,,
42,1225344,2688,0.012977516323810924,0.671875,0.671875,,,,,,,,,
43,1253568,2752,0.015682775725976605,0.71875,0.71875,,,,,,,,,
44,1285376,2816,0.012986691507164893,0.546875,0.546875,,,,,,,,,
45,1315648,2880,0.013868816386307839,0.75,0.75,,,,,,,,,
46,1345408,2944,0.01642926851302381,0.75,0.75,,,,,,,,,
47,1380288,3008,0.014203944617031353,0.6875,0.6875,,,,,,,,,
48,1409536,3072,0.015001949288642536,0.578125,0.578125,,,,,,,,,
49,1440832,3136,0.01488762768917903,0.609375,0.609375,0.013001428787605162,0.703125,0.703125,,,,,,
50,1474688,3200,0.014477583431375203,0.515625,0.515625,,,,,,,,,
51,1504448,3264,0.015222091300131413,0.75,0.75,,,,,,,,,
52,1529088,3328,0.01743676787066308,0.6875,0.6875,,,,,,,,,
53,1558336,3392,0.015013733749495847,0.453125,0.453125,,,,,,,,,
54,1586560,3456,0.01494368925544952,0.640625,0.640625,,,,,,,,,
55,1616832,3520,0.01347371839074567,0.65625,0.65625,,,,,,,,,
56,1647616,3584,0.014459691098531412,0.671875,0.671875,,,,,,,,,
57,1679936,3648,0.014514406636241633,0.609375,0.609375,0.018802013317654805,0.796875,0.796875,,,,,,
58,1706624,3712,0.01783471798004233,0.6875,0.6875,,,,,,,,,
59,1736896,3776,0.013483008351404912,0.75,0.75,,,,,,,,,
60,1764608,3840,0.01693137167781828,0.625,0.625,,,,,,,,,
61,1796928,3904,0.01388662027300354,0.625,0.625,,,,,,,,,
62,1825664,3968,0.01542576444701789,0.671875,0.671875,,,,,,,,,
63,1854400,4032,0.015122043586306077,0.71875,0.71875,,,,,,,,,
64,1881600,4096,0.017129895907961035,0.625,0.625,,,,,,,,,
65,1906240,4160,0.018138777677381913,0.71875,0.71875,0.016202622094875926,0.6875,0.6875,,,,,,
66,1938560,4224,0.012931059900751468,0.71875,0.71875,,,,,,,,,
67,1967296,4288,0.015216467181304491,0.703125,0.703125,,,,,,,,,
68,2002688,4352,0.012077889718500587,0.75,0.75,,,,,,,,,
69,2026304,4416,0.019753932431398894,0.640625,0.640625,,,,,,,,,
70,2051456,4480,0.016617620928206914,0.796875,0.796875,,,,,,,,,
71,2079168,4544,0.017066559597181955,0.609375,0.609375,,,,,,,,,
72,2109952,4608,0.014134036567719489,0.578125,0.578125,,,,,,,,,
73,2138176,4672,0.015205536155654316,0.65625,0.65625,0.013885131032963297,0.734375,0.734375,,,,,,
74,2168448,4736,0.014220596770150671,0.65625,0.65625,,,,,,,,,
75,2199744,4800,0.014267667180434977,0.703125,0.703125,,,,,,,,,
76,2232576,4864,0.013973860017373938,0.65625,0.65625,,,,,,,,,
77,2264384,4928,0.014447239431099164,0.734375,0.734375,,,,,,,,,
78,2288512,4992,0.017523490679930077,0.6875,0.6875,,,,,,,,,
79,2313664,5056,0.017474442979388268,0.703125,0.703125,,,,,,,,,
80,2344960,5120,0.0147306108494423,0.65625,0.65625,,,,,,,,,
81,2376256,5184,0.013547986306153269,0.640625,0.640625,0.013863654588108633,0.640625,0.640625,,,,,,
82,2403456,5248,0.01711279270738186,0.640625,0.640625,,,,,,,,,
83,2432704,5312,0.01493443322132442,0.625,0.625,,,,,,,,,
84,2461952,5376,0.015024853612490058,0.78125,0.78125,,,,,,,,,
85,2486080,5440,0.018161452604534823,0.765625,0.765625,,,,,,,,,
86,2512768,5504,0.01637867783823744,0.609375,0.609375,,,,,,,,,
87,2539968,5568,0.016488501209540016,0.671875,0.671875,,,,,,,,,
88,2568704,5632,0.014920064888058523,0.6875,0.6875,,,,,,,,,
89,2597440,5696,0.015010696873662866,0.625,0.625,0.015309713471325469,0.71875,0.71875,,,,,,
90,2623616,5760,0.01703624310351354,0.703125,0.703125,,,,,,,,,
91,2659008,5824,0.013576712873883387,0.59375,0.59375,,,,,,,,,
92,2692352,5888,0.013035439284528022,0.703125,0.703125,,,,,,,,,
93,2718528,5952,0.017139809098302164,0.625,0.625,,,,,,,,,
94,2748800,6016,0.014343457460146985,0.671875,0.671875,,,,,,,,,
95,2781120,6080,0.013252552669989339,0.671875,0.671875,,,,,,,,,
96,2808832,6144,0.016328120420042152,0.640625,0.640625,,,,,,,,,
97,2840640,6208,0.014924242120213465,0.6875,0.6875,0.01884472760044579,0.765625,0.765625,,,,,,
98,2866816,6272,0.01569742165806202,0.71875,0.71875,,,,,,,,,
99,2894016,6336,0.014151495841626673,0.703125,0.703125,,,,,,,,,
100,2925312,6400,0.0129967205077836,0.765625,0.765625,,,,,,,,,
101,2950464,6464,0.017436199140017018,0.71875,0.71875,,,,,,,,,
102,2985856,6528,0.012468062156407677,0.65625,0.65625,,,,,,,,,
103,3020224,6592,0.012471704824036624,0.765625,0.765625,,,,,,,,,
104,3049472,6656,0.014342506600367564,0.671875,0.671875,,,,,,,,,
105,3078208,6720,0.0157053183890629,0.625,0.625,0.012522611800877584,0.65625,0.65625,,,,,,
106,3104384,6784,0.01568498642864061,0.59375,0.59375,,,,,,,,,
107,3131584,6848,0.016774111122801187,0.703125,0.703125,,,,,,,,,
108,3155200,6912,0.018927482278537605,0.671875,0.671875,,,,,,,,,
109,3183936,6976,0.015377954281868184,0.65625,0.65625,,,,,,,,,
110,3208064,7040,0.018472411567339864,0.6875,0.6875,,,,,,,,,
111,3240384,7104,0.01280138060547838,0.5625,0.5625,,,,,,,,,
112,3275776,7168,0.011634787712163367,0.625,0.625,,,,,,,,,
113,3306560,7232,0.013418637526647775,0.6875,0.6875,0.01661381378225406,0.671875,0.671875,,,,,,
114,3333760,7296,0.01622518935223727,0.625,0.625,,,,,,,,,
115,3367104,7360,0.012880290838967917,0.59375,0.59375,,,,,,,,,
116,3401984,7424,0.012618850632908301,0.78125,0.78125,,,,,,,,,
117,3431232,7488,0.015182586009440844,0.78125,0.78125,,,,,,,,,
118,3458944,7552,0.015372755417944509,0.765625,0.765625,,,,,,,,,
119,3489216,7616,0.01509862134509846,0.671875,0.671875,,,,,,,,,
120,3514368,7680,0.01706676857157201,0.71875,0.71875,,,,,,,,,
121,3542592,7744,0.014592290230147681,0.71875,0.71875,0.01654591705029555,0.65625,0.65625,,,,,,
122,3577472,7808,0.012048342830557076,0.671875,0.671875,,,,,,,,,
123,3602624,7872,0.018067559440604595,0.609375,0.609375,,,,,,,,,
124,3628800,7936,0.01688792216405305,0.671875,0.671875,,,,,,,,,
125,3656000,8000,0.014713476266665346,0.59375,0.59375,,,,,,,,,
126,3688832,8064,0.013482378044776422,0.75,0.75,,,,,,,,,
127,3714496,8128,0.0158052029733076,0.609375,0.609375,,,,,,,,,
128,3741696,8192,0.016422226206839575,0.796875,0.796875,,,,,,,,,
129,3767360,8256,0.016893527872159832,0.671875,0.671875,0.01724109670512236,0.75,0.75,,,,,,
130,3796096,8320,0.015016035452950311,0.6875,0.6875,,,,,,,,,
131,3822272,8384,0.01597447562571325,0.625,0.625,,,,,,,,,
132,3854592,8448,0.01281787892891433,0.703125,0.703125,,,,,,,,,
133,3887424,8512,0.015179911531226217,0.578125,0.578125,,,,,,,,,
134,3920768,8576,0.012854680215742887,0.75,0.75,,,,,,,,,
135,3950528,8640,0.014991575856103364,0.6875,0.6875,,,,,,,,,
136,3979776,8704,0.016561779866886506,0.609375,0.609375,,,,,,,,,
137,4009024,8768,0.015101290125730502,0.625,0.625,0.015474078821221853,0.828125,0.828125,,,,,,
138,4038784,8832,0.014318782312439349,0.828125,0.828125,,,,,,,,,
139,4063424,8896,0.018162217075979124,0.59375,0.59375,,,,,,,,,
140,4095232,8960,0.013764214231507829,0.609375,0.609375,,,,,,,,,
141,4124480,9024,0.015948956640624914,0.625,0.625,,,,,,,,,
142,4151680,9088,0.016762502196614234,0.703125,0.703125,,,,,,,,,
143,4184000,9152,0.014048690131503198,0.703125,0.703125,,,,,,,,,
144,4214272,9216,0.014759390004589288,0.625,0.625,,,,,,,,,
145,4239424,9280,0.016986830447755785,0.578125,0.578125,0.013036379017006003,0.640625,0.640625,,,,,,
146,4268160,9344,0.014681024903190731,0.6875,0.6875,,,,,,,,,
147,4298944,9408,0.015086846408339266,0.65625,0.65625,,,,,,,,,
148,4331776,9472,0.013206093072911953,0.78125,0.78125,,,,,,,,,
149,4370752,9536,0.011501257176562755,0.5,0.5,,,,,,,,,
150,4409216,9600,0.011591960629488312,0.59375,0.59375,,,,,,,,,
151,4435904,9664,0.016892545545162462,0.640625,0.640625,,,,,,,,,
152,4461568,9728,0.01726167933605816,0.578125,0.578125,,,,,,,,,
153,4492352,9792,0.01414726271647375,0.75,0.75,0.010400016040264769,0.65625,0.65625,,,,,,
154,4520064,9856,0.016016086844033987,0.640625,0.640625,,,,,,,,,
155,4549312,9920,0.013958599091631314,0.671875,0.671875,,,,,,,,,
156,4574464,9984,0.017446392090423916,0.640625,0.640625,,,,,,,,,
157,4607296,10048,0.013349759603113163,0.703125,0.703125,,,,,,,,,
158,4632960,10112,0.01687347162326678,0.75,0.75,,,,,,,,,
159,4659648,10176,0.01738522860408593,0.640625,0.640625,,,,,,,,,
160,4689920,10240,0.01439942094826538,0.71875,0.71875,,,,,,,,,
161,4722240,10304,0.013802414502392512,0.671875,0.671875,0.017051071994441457,0.734375,0.734375,,,,,,
162,4750464,10368,0.015748864082429773,0.734375,0.734375,,,,,,,,,
163,4776640,10432,0.01715423174137151,0.609375,0.609375,,,,,,,,,
164,4808448,10496,0.012746227841322857,0.78125,0.78125,,,,,,,,,
165,4833088,10560,0.017974151332841384,0.8125,0.8125,,,,,,,,,
166,4862848,10624,0.015174382948994102,0.796875,0.796875,,,,,,,,,
167,4895168,10688,0.012942516878071263,0.65625,0.65625,,,,,,,,,
168,4921856,10752,0.016962545107864373,0.71875,0.71875,,,,,,,,,
169,4950592,10816,0.015507341776250242,0.734375,0.734375,0.014493589149288924,0.84375,0.84375,,,,,,
170,4979328,10880,0.014504818734175747,0.640625,0.640625,,,,,,,,,
171,5006016,10944,0.016914003926701466,0.734375,0.734375,,,,,,,,,
172,5033728,11008,0.015104653837108843,0.625,0.625,,,,,,,,,
173,5071680,11072,0.012294157729736264,0.640625,0.640625,,,,,,,,,
174,5101440,11136,0.0154855322732291,0.671875,0.671875,,,,,,,,,
175,5129152,11200,0.015438480767534787,0.6875,0.6875,,,,,,,,,
176,5159424,11264,0.0147037760221956,0.734375,0.734375,,,,,,,,,
177,5192768,11328,0.013685012630725902,0.625,0.625,0.016950392533628268,0.703125,0.703125,,,,,,
178,5224576,11392,0.013887237411798458,0.6875,0.6875,,,,,,,,,
179,5253824,11456,0.01535467029530445,0.625,0.625,,,,,,,,,
180,5281536,11520,0.015985821698101185,0.734375,0.734375,,,,,,,,,
181,5309248,11584,0.015654338941711046,0.6875,0.6875,,,,,,,,,
182,5336960,11648,0.014445643332893613,0.671875,0.671875,,,,,,,,,
183,5368256,11712,0.013831396053847611,0.671875,0.671875,,,,,,,,,
184,5402112,11776,0.012316474228566092,0.75,0.75,,,,,,,,,
185,5426240,11840,0.017159416397459184,0.625,0.625,0.017738313869203957,0.6875,0.6875,,,,,,
186,5451904,11904,0.016640657505680247,0.625,0.625,,,,,,,,,
187,5488320,11968,0.012837255656305517,0.640625,0.640625,,,,,,,,,
188,5512448,12032,0.01697352068034003,0.6875,0.6875,,,,,,,,,
189,5537600,12096,0.016204482650430285,0.6875,0.6875,,,,,,,,,
190,5560704,12160,0.017443122004691766,0.6875,0.6875,,,,,,,,,
191,5584320,12224,0.017136682677549316,0.75,0.75,,,,,,,,,
192,5614592,12288,0.014461243865239894,0.625,0.625,,,,,,,,,
193,5643328,12352,0.013501726697578592,0.703125,0.703125,0.013840356854961435,0.78125,0.78125,,,,,,
194,5672576,12416,0.016041306601782282,0.71875,0.71875,,,,,,,,,
195,5707456,12480,0.01290143027361217,0.671875,0.671875,,,,,,,,,
