step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,68736,128,0.00975624312953592,0.6953125,0.6953125,0.01117144846019674,0.7890625,0.7890625,,,,,,
2,127232,256,0.012128408058848735,0.625,0.625,,,,,,,,,
3,199040,384,0.010015482732291045,0.7421875,0.7421875,,,,,,,,,
4,260608,512,0.011878650500478337,0.71875,0.71875,,,,,,,,,
5,326272,640,0.010470606540978302,0.6328125,0.6328125,,,,,,,,,
6,378624,768,0.01306918678149344,0.7421875,0.7421875,,,,,,,,,
7,450432,896,0.009870352522894496,0.7109375,0.7109375,,,,,,,,,
8,505856,1024,0.012951513168532078,0.6328125,0.6328125,,,,,,,,,
9,572544,1152,0.010034672601687961,0.703125,0.703125,0.009996927868164432,0.765625,0.765625,,,,,,
10,626944,1280,0.013438382452020123,0.6953125,0.6953125,,,,,,,,,
11,684416,1408,0.012383451560906937,0.6796875,0.6796875,,,,,,,,,
12,755200,1536,0.009291249508635989,0.734375,0.734375,,,,,,,,,
13,815744,1664,0.011230031467029474,0.6640625,0.6640625,,,,,,,,,
14,873216,1792,0.012502324199175954,0.7578125,0.7578125,,,,,,,,,
15,942976,1920,0.009667935306238227,0.7421875,0.7421875,,,,,,,,,
16,1006592,2048,0.010384158112118966,0.7578125,0.7578125,,,,,,,,,
17,1070208,2176,0.01103925628281287,0.75,0.75,0.010155699987839413,0.78125,0.78125,,,,,,
18,1134848,2304,0.009661152224778084,0.7734375,0.7734375,,,,,,,,,
19,1191296,2432,0.011223103627751708,0.71875,0.71875,,,,,,,,,
20,1259008,2560,0.009977396082881783,0.7578125,0.7578125,,,,,,,,,
21,1315456,2688,0.012103232675240517,0.7578125,0.7578125,,,,,,,,,
22,1373952,2816,0.011484549258832365,0.71875,0.71875,,,,,,,,,
23,1447808,2944,0.009159014663789475,0.734375,0.734375,,,,,,,,,
24,1514496,3072,0.009536037731112338,0.7109375,0.7109375,,,,,,,,,
25,1568896,3200,0.012597072588784336,0.71875,0.71875,0.00921056106895487,0.8125,0.8125,,,,,,
26,1627392,3328,0.011565297765793313,0.703125,0.703125,,,,,,,,,
27,1695104,3456,0.010356843490155868,0.78125,0.78125,,,,,,,,,
28,1757696,3584,0.011107083972250457,0.6796875,0.6796875,,,,,,,,,
29,1824384,3712,0.010409817563129468,0.8203125,0.8203125,,,,,,,,,
30,1883904,3840,0.010898250564538319,0.6875,0.6875,,,,,,,,,
31,1946496,3968,0.010377525177526629,0.734375,0.734375,,,,,,,,,
32,1994752,4096,0.01342305101013536,0.765625,0.765625,,,,,,,,,
33,2055296,4224,0.010374412396934376,0.7265625,0.7265625,0.010927239629124954,0.8046875,0.8046875,,,,,,
34,2114816,4352,0.011629153704589161,0.7734375,0.7734375,,,,,,,,,
35,2174336,4480,0.01134816419473968,0.75,0.75,,,,,,,,,
36,2234880,4608,0.011340390535041118,0.75,0.75,,,,,,,,,
37,2291328,4736,0.012406135285073575,0.734375,0.734375,,,,,,,,,
38,2363136,4864,0.010169407638435473,0.625,0.625,,,,,,,,,
39,2429824,4992,0.010010039696824027,0.65625,0.65625,,,,,,,,,
40,2489344,5120,0.011594653910603164,0.7421875,0.7421875,,,,,,,,,
41,2564224,5248,0.009243362720181142,0.796875,0.796875,0.011611558800978021,0.8125,0.8125,,,,,,
42,2630912,5376,0.010286693949738773,0.6875,0.6875,,,,,,,,,
43,2700672,5504,0.00991003225386107,0.7265625,0.7265625,,,,,,,,,
44,2760192,5632,0.01202709415893818,0.71875,0.71875,,,,,,,,,
45,2824832,5760,0.011234030476169632,0.7578125,0.7578125,,,,,,,,,
46,2892544,5888,0.010486151811380838,0.65625,0.65625,,,,,,,,,
47,2952064,6016,0.012163074100784111,0.7421875,0.7421875,,,,,,,,,
48,3007488,6144,0.0123558104468939,0.734375,0.734375,,,,,,,,,
49,3067008,6272,0.011056991154247485,0.65625,0.65625,0.011947553946814947,0.734375,0.734375,,,,,,
50,3124480,6400,0.011986931809901093,0.7265625,0.7265625,,,,,,,,,
51,3189120,6528,0.010436234005915519,0.7890625,0.7890625,,,,,,,,,
52,3239424,6656,0.012846201418194453,0.765625,0.765625,,,,,,,,,
53,3300992,6784,0.011412829334146753,0.7109375,0.7109375,,,,,,,,,
54,3368704,6912,0.01013489041449114,0.71875,0.71875,,,,,,,,,
55,3433344,7040,0.011256019770403945,0.6796875,0.6796875,,,,,,,,,
56,3495936,7168,0.0106676998286529,0.6875,0.6875,,,,,,,,,
57,3556480,7296,0.01058386415583385,0.7578125,0.7578125,0.010048833736993786,0.765625,0.765625,,,,,,
58,3629312,7424,0.008722215515052102,0.7265625,0.7265625,,,,,,,,,
59,3694976,7552,0.009940198833699124,0.7109375,0.7109375,,,,,,,,,
60,3746304,7680,0.012579128188737774,0.6484375,0.6484375,,,,,,,,,
61,3818112,7808,0.008907552922628018,0.6484375,0.6484375,,,,,,,,,
62,3885824,7936,0.010164089674764653,0.75,0.75,,,,,,,,,
63,3944320,8064,0.012059210382131228,0.7421875,0.7421875,,,,,,,,,
64,4013056,8192,0.010363311322475057,0.7109375,0.7109375,,,,,,,,,
65,4079744,8320,0.010136233444399331,0.7578125,0.7578125,0.009424394710132233,0.84375,0.84375,,,,,,
66,4153600,8448,0.009549874187762444,0.765625,0.765625,,,,,,,,,
67,4221312,8576,0.009362389847020893,0.7265625,0.7265625,,,,,,,,,
68,4286976,8704,0.010491376509888357,0.71875,0.71875,,,,,,,,,
69,4348544,8832,0.011034865187677633,0.71875,0.71875,,,,,,,,,
70,4407040,8960,0.012780656729985402,0.625,0.625,,,,,,,,,
71,4474752,9088,0.00961632168906948,0.75,0.75,,,,,,,,,
72,4543488,9216,0.010139981953638584,0.703125,0.703125,,,,,,,,,
73,4599936,9344,0.011670579941827438,0.75,0.75,0.01125508419171445,0.78125,0.78125,,,,,,
74,4675840,9472,0.009287014451552876,0.7265625,0.7265625,,,,,,,,,
75,4741504,9600,0.010663703089513064,0.7265625,0.7265625,,,,,,,,,
76,4808192,9728,0.010832554195423649,0.6875,0.6875,,,,,,,,,
77,4871808,9856,0.010114006030378351,0.734375,0.734375,,,,,,,,,
78,4928256,9984,0.011563468771796094,0.7421875,0.7421875,,,,,,,,,
79,4991872,10112,0.011053167849336914,0.7578125,0.7578125,,,,,,,,,
80,5045248,10240,0.01167732929195524,0.6640625,0.6640625,,,,,,,,,
81,5108864,10368,0.01004294260864253,0.7421875,0.7421875,0.011003505030627875,0.8046875,0.8046875,,,,,,
82,5172480,10496,0.011616869988001044,0.71875,0.71875,,,,,,,,,
83,5229952,10624,0.010522924163813008,0.828125,0.828125,,,,,,,,,
84,5296640,10752,0.010138178501097592,0.7421875,0.7421875,,,,,,,,,
85,5363328,10880,0.00929079610153852,0.6875,0.6875,,,,,,,,,
86,5418752,11008,0.011730235010637927,0.7109375,0.7109375,,,,,,,,,
87,5493632,11136,0.009193488560070205,0.7578125,0.7578125,,,,,,,,,
88,5562368,11264,0.009423190148512338,0.625,0.625,,,,,,,,,
89,5619840,11392,0.010891577165358522,0.8203125,0.8203125,0.010888095111841392,0.8125,0.8125,,,,,,
90,5681408,11520,0.011276552761407533,0.6875,0.6875,,,,,,,,,
91,5740928,11648,0.0103252870833279,0.7265625,0.7265625,,,,,,,,,
92,5791232,11776,0.011669312183551146,0.71875,0.71875,,,,,,,,,
93,5851776,11904,0.011186732296557339,0.765625,0.765625,,,,,,,,,
94,5919488,12032,0.009813144625263063,0.6875,0.6875,,,,,,,,,
95,5971840,12160,0.012235257115332942,0.7734375,0.7734375,,,,,,,,,
96,6039552,12288,0.010021157676767683,0.7734375,0.7734375,,,,,,,,,
97,6100096,12416,0.011705931169949977,0.734375,0.734375,0.011804027173738454,0.828125,0.828125,,,,,,
98,6158592,12544,0.01178894074277207,0.71875,0.71875,,,,,,,,,
99,6229376,12672,0.009551831768157944,0.7265625,0.7265625,,,,,,,,,
100,6287872,12800,0.010902695795076986,0.6953125,0.6953125,,,,,,,,,
101,6359680,12928,0.008906571359775118,0.7265625,0.7265625,,,,,,,,,
102,6437632,13056,0.009003714133085816,0.7265625,0.7265625,,,,,,,,,
103,6516608,13184,0.008198813105558476,0.671875,0.671875,,,,,,,,,
104,6569984,13312,0.011741828688198064,0.6953125,0.6953125,,,,,,,,,
105,6623360,13440,0.012506961826668614,0.7265625,0.7265625,0.009183750270649344,0.8046875,0.8046875,,,,,,
106,6674688,13568,0.012659747690648131,0.765625,0.765625,,,,,,,,,
107,6749568,13696,0.008631271721996235,0.765625,0.765625,,,,,,,,,
108,6818304,13824,0.00940401317827203,0.734375,0.734375,,,,,,,,,
109,6876800,13952,0.012031538892237813,0.7578125,0.7578125,,,,,,,,,
110,6937344,14080,0.0106723853665928,0.640625,0.640625,,,,,,,,,
111,7004032,14208,0.010171612528685325,0.7421875,0.7421875,,,,,,,,,
112,7067648,14336,0.010007174903236592,0.7265625,0.7265625,,,,,,,,,
113,7124096,14464,0.012363836807793243,0.609375,0.609375,0.011386358585127609,0.8046875,0.8046875,,,,,,
114,7197952,14592,0.00934784657678467,0.7109375,0.7109375,,,,,,,,,
115,7268736,14720,0.009055007992472702,0.703125,0.703125,,,,,,,,,
116,7326208,14848,0.011581374258950944,0.7421875,0.7421875,,,,,,,,,
117,7410304,14976,0.007599128881220825,0.640625,0.640625,,,,,,,,,
118,7478016,15104,0.009581892328945166,0.6640625,0.6640625,,,,,,,,,
119,7536512,15232,0.011027712766904797,0.6953125,0.6953125,,,,,,,,,
120,7608320,15360,0.010293558036292665,0.7265625,0.7265625,,,,,,,,,
121,7667840,15488,0.010245523811462858,0.6875,0.6875,0.009435833586078246,0.765625,0.765625,,,,,,
122,7722240,15616,0.012626536618525523,0.75,0.75,,,,,,,,,
123,7777664,15744,0.012458742756206577,0.7109375,0.7109375,,,,,,,,,
124,7846400,15872,0.009970012721341768,0.75,0.75,,,,,,,,,
125,7900800,16000,0.011590374125715982,0.7109375,0.7109375,,,,,,,,,
126,7970560,16128,0.00956583317132511,0.7265625,0.7265625,,,,,,,,,
127,8035200,16256,0.010840972412680304,0.6640625,0.6640625,,,,,,,,,
128,8118272,16384,0.008422504239123624,0.7265625,0.7265625,,,,,,,,,
129,8174720,16512,0.011322556264008663,0.7578125,0.7578125,0.0122703855823897,0.71875,0.71875,,,,,,
130,8240384,16640,0.01002301256551626,0.7890625,0.7890625,,,,,,,,,
131,8306048,16768,0.010229887087547577,0.6796875,0.6796875,,,,,,,,,
132,8363520,16896,0.011090142847762314,0.7265625,0.7265625,,,,,,,,,
133,8416896,17024,0.011734121388425925,0.703125,0.703125,,,,,,,,,
134,8478464,17152,0.010664252058530726,0.7109375,0.7109375,,,,,,,,,
135,8541056,17280,0.010179677747547987,0.734375,0.734375,,,,,,,,,
136,8604672,17408,0.010264614940994923,0.6953125,0.6953125,,,,,,,,,
137,8676480,17536,0.00959634776691632,0.7109375,0.7109375,0.010826668939753294,0.8515625,0.8515625,,,,,,
138,8739072,17664,0.010858574677176942,0.703125,0.703125,,,,,,,,,
139,8793472,17792,0.01273624187419369,0.7265625,0.7265625,,,,,,,,,
140,8850944,17920,0.01174030479648355,0.65625,0.65625,,,,,,,,,
141,8911488,18048,0.010936621414900304,0.7265625,0.7265625,,,,,,,,,
142,8964864,18176,0.01196950662492666,0.7578125,0.7578125,,,,,,,,,
143,9028480,18304,0.010307716014316756,0.7109375,0.7109375,,,,,,,,,
144,9090048,18432,0.010253911827041691,0.6953125,0.6953125,,,,,,,,,
145,9157760,18560,0.010386059377057581,0.71875,0.71875,0.009369805023378893,0.8046875,0.8046875,,,,,,
146,9228544,18688,0.008971982709905223,0.765625,0.765625,,,,,,,,,
147,9283968,18816,0.010968361082852809,0.7578125,0.7578125,,,,,,,,,
148,9335296,18944,0.012211800077316792,0.71875,0.71875,,,,,,,,,
149,9390720,19072,0.010250916689894397,0.734375,0.734375,,,,,,,,,
150,9461504,19200,0.00905548823969482,0.75,0.75,,,,,,,,,
151,9522048,19328,0.010437241000852061,0.7734375,0.7734375,,,,,,,,,
152,9585664,19456,0.010938312138538034,0.734375,0.734375,,,,,,,,,
153,9651328,19584,0.009781055080562744,0.765625,0.765625,0.009699839770047165,0.71875,0.71875,,,,,,
154,9721088,19712,0.009676440391806802,0.625,0.625,,,,,,,,,
155,9779584,19840,0.01064902458053108,0.7421875,0.7421875,,,,,,,,,
156,9852416,19968,0.008782996902938248,0.8046875,0.8046875,,,,,,,,,
157,9913984,20096,0.010109696198064936,0.6796875,0.6796875,,,,,,,,,
158,9971456,20224,0.011712777075342925,0.75,0.75,,,,,,,,,
159,10029952,20352,0.01124633552960115,0.7734375,0.7734375,,,,,,,,,
160,10091520,20480,0.010398140483416888,0.7109375,0.7109375,,,,,,,,,
161,10151040,20608,0.012330307526384551,0.7421875,0.7421875,0.011420937057668527,0.7890625,0.7890625,,,,,,
162,10208512,20736,0.010705028101154977,0.7265625,0.7265625,,,,,,,,,
163,10262912,20864,0.011825140997465216,0.7265625,0.7265625,,,,,,,,,
164,10323456,20992,0.010504599961096232,0.71875,0.71875,,,,,,,,,
165,10384000,21120,0.01057404852693887,0.78125,0.78125,,,,,,,,,
166,10445568,21248,0.010302261913718129,0.75,0.75,,,,,,,,,
167,10507136,21376,0.010786132720470578,0.71875,0.71875,,,,,,,,,
168,10571776,21504,0.009354822069098297,0.7421875,0.7421875,,,,,,,,,
169,10629248,21632,0.011938042016554615,0.734375,0.734375,0.010475285740289145,0.8046875,0.8046875,,,,,,
170,10688768,21760,0.011288441345018966,0.7578125,0.7578125,,,,,,,,,
171,10763648,21888,0.008849610940334443,0.7109375,0.7109375,,,,,,,,,
172,10830336,22016,0.009874602580047817,0.7734375,0.7734375,,,,,,,,,
173,10883712,22144,0.012092078704142532,0.7734375,0.7734375,,,,,,,,,
174,10948352,22272,0.009537056149751701,0.7421875,0.7421875,,,,,,,,,
175,11009920,22400,0.01034585894394965,0.7109375,0.7109375,,,,,,,,,
176,11061248,22528,0.014157692744884258,0.6953125,0.6953125,,,,,,,,,
177,11123840,22656,0.010495405364161667,0.7734375,0.7734375,0.01026451370384938,0.859375,0.859375,,,,,,
178,11186432,22784,0.009853064897212598,0.8046875,0.8046875,,,,,,,,,
179,11245952,22912,0.010140744512192724,0.7734375,0.7734375,,,,,,,,,
180,11306496,23040,0.01096255141757207,0.6796875,0.6796875,,,,,,,,,
181,11372160,23168,0.00991101141457595,0.703125,0.703125,,,,,,,,,
182,11450112,23296,0.008470904812762392,0.765625,0.765625,,,,,,,,,
183,11513728,23424,0.009699790361112522,0.671875,0.671875,,,,,,,,,
184,11581440,23552,0.00986600465982802,0.75,0.75,,,,,,,,,
185,11656320,23680,0.008805204554737007,0.75,0.75,0.008956045971105553,0.8671875,0.8671875,,,,,,
186,11725056,23808,0.009562160373331968,0.703125,0.703125,,,,,,,,,
187,11787648,23936,0.01047703322230505,0.71875,0.71875,,,,,,,,,
188,11844096,24064,0.011619862505381513,0.671875,0.671875,,,,,,,,,
